
> music-store-api@1.0.0 start
> node src/server.js

Music Store API running on http://localhost:5000
GET /api/cart 304 10.533 ms - -
GET /api/products?sort=newest&limit=100 304 21.976 ms - -
GET /api/auth/me 304 212.608 ms - -
GET /api/categories 304 23.263 ms - -
GET /api/auth/me 304 34.945 ms - -
GET /api/products?featured=true&limit=6 304 367.840 ms - -
GET /api/categories 304 29.684 ms - -
GET /api/auth/me 304 18.990 ms - -
GET /api/cart 304 156.580 ms - -
GET /api/auth/me 304 129.721 ms - -
GET /api/products?featured=true&limit=6 304 300.472 ms - -
GET /api/cart 304 45.800 ms - -
GET /api/cart 304 7.774 ms - -
GET /api/cart 304 16.749 ms - -
GET /api/products?sort=newest&limit=100 304 14.464 ms - -
